,,,,,,,,
"
",,,,,,,,
Select filter criteria below:,,,,,,,,
Start Date:,03/01/2014 ,Start Time:,12:00 AM ,Building:,All ,,,
 End Date:,03/31/2014 ,End Time:,11:59 PM,Room:,All,,,
,,,,,,,,
,,,,,,,,
Name,Building,Room,Days met,Start Date,End Date,Start Time,End Time,
Instruction for Teaching English as a Ne  ,ATT ,604,T ,12/09/2013 ,03/02/2014 ,10:00 AM ,12:30 PM ,
Integrating Literacy in Secondary Conten  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,10:00 AM ,12:00 PM ,
Teaching Mathematics in Secondary Classr  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,10:00 AM ,01:00 PM ,
Human Differences  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,10:30 AM ,12:30 PM ,
Integrating Literacy in Secondary Conten  ,ATT ,606,T ,12/09/2013 ,03/02/2014 ,10:30 AM ,12:30 PM ,
Guided Practice  ,ATT ,606,F ,12/09/2013 ,03/02/2014 ,11:00 AM ,01:30 PM ,
Teaching English to Speakers of Other La  ,ATT ,604,W ,12/09/2013 ,03/02/2014 ,11:00 AM ,01:30 PM ,
Integrating Literacy in Secondary Conten  ,ATT ,604,R ,12/09/2013 ,03/02/2014 ,11:30 AM ,01:30 PM ,
Instruction for Teaching English as a Ne  ,ATT ,606,T ,12/09/2013 ,03/02/2014 ,01:00 PM ,03:30 PM ,
Integrating Literacy in Secondary Conten  ,ATT ,604,T ,12/09/2013 ,03/02/2014 ,01:00 PM ,03:00 PM ,
Guided Practice  ,OFFICE ,OFFICE ,M ,12/09/2013 ,03/02/2014 ,01:30 PM ,04:00 PM ,
Teaching English to Speakers of Other La  ,ATT ,606,W ,12/09/2013 ,03/02/2014 ,02:00 PM ,04:30 PM ,
Instruction for Teaching English as a Ne  ,ATT ,604,W ,12/09/2013 ,03/02/2014 ,02:15 PM ,04:45 PM ,
Teaching English to Speakers of Other La  ,ATT ,604,R ,12/09/2013 ,03/02/2014 ,02:15 PM ,04:45 PM ,
Assessment and Instruction for Diverse E  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:30 PM ,
Capstone in Teaching English Learners  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:00 PM ,
Capstone Portfolio in Learning and Instr  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:00 PM ,
Framing the Social Context of High Needs  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,03:00 PM ,06:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,S ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:30 PM ,
Human Differences  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:00 PM ,
Instruction for Teaching English as a Ne  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:30 PM ,
Instruction for Teaching English as a Ne  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:30 PM ,
Instruction for Teaching English as a Ne  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:30 PM ,
Integrating English Language Arts and So  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,03:00 PM ,06:00 PM ,
Integrating Literacy in Secondary Conten  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:00 PM ,
Multimedia Literacy  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:00 PM ,
Practicum in TeachingEnglish as a Second  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:00 PM ,
Teaching English Language Arts in Second  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,03:00 PM ,05:30 PM ,
